id;service_estimate_name;service_estimate_number;service_estimate_description;dept_id;dept_code;location_id;location_name;project_id;project_name;estimate_amt;status;document_reference;budget_amount;hoa_department;hoa_department_id;hoa_sector;hoa_sector_id;hoa_list;hoa_list_id;hoa_linked_list;hoa_linked_list_id;approved_budget_yn
1;encompassing Engineer Gloves;Dynamic synergize;monitor Creative COM;5805;compelling Ergonomic;22954;violet Practical;1961;schemas;45575;Plastic;Cotton;5652;microchip Forint Ergonomic;15628;convergence;12550;indexing Port Virginia;64321;Delaware experiences Corporate;23487;false
2;synergize methodical;mobile Generic;Senior Rubber 1080p;83325;schemas index;94829;deposit;94930;24;791;payment;Malawi secondary;61043;deposit;58318;Home silver;81099;Dollar Borders;22821;RSS Fully-configurable;99087;false
3;Buckinghamshire Branding;engine synthesize incremental;interfaces Configurable;82131;Reverse-engineered up supply-chains;56260;Reduced Rubber orchestrate;53943;Forward up;21946;Strategist;visionary Robust ADP;70776;Fresh;14821;Cambridgeshire Central;33315;Utah;20926;internet Global Internal;44492;false
4;Bedfordshire Rubber;base Cross-group;Kwacha Soft Wooden;2261;RSS Developer;69505;mindshare;33986;didactic withdrawal;74116;Fresh wireless;Facilitator users;51000;South PNG;61919;SCSI maroon Bike;83760;Tasty firewall;59950;Automotive monitor;55953;false
5;Borders green;EXE structure;Pass Avenue;86244;Wooden Enterprise-wide;38879;productize Plastic Granite;48365;EXE Account;6699;Devolved Cambridgeshire;optimize;84035;edge Practical;5980;Computer asynchronous connecting;79617;brand Borders Architect;93393;panel bluetooth;55948;true
6;Bike HDD;scale Practical South;Administrator;30038;Concrete Directives card;1380;Direct;61772;action-items architect;62091;haptic;silver;86389;Agent Plastic;67176;Nauru;95922;Gloves;67304;IB synergize;93235;true
7;lavender plug-and-play Frozen;Operative Tajikistan Mountains;Chicken;50515;paradigms virtual Liaison;43705;navigating;36635;task-force;8162;Virginia;EXE;15614;generate transmitting;25400;Tools even-keeled;35829;Refined PCI;75062;bypassing;75954;true
8;parallelism USB;card black Account;mint compressing invoice;53461;Account withdrawal;53817;Chief transmit Loan;59095;compress payment Kentucky;59224;Hat redefine compressing;Practical;62256;bandwidth-monitored;25158;microchip;47643;Hat indigo;32774;24/365 ADP generation;84082;false
9;Borders auxiliary integrate;Concrete Fish Bike;multi-byte withdrawal;59089;Fresh Small payment;53700;red Corporate;2962;alliance Arizona;68093;Sleek;Ball Berkshire ROI;7868;Brunei;38678;Arizona Sleek;50544;SSL Berkshire Cambridgeshire;38909;Kyat;2264;false
10;Loan engineer;orchestrate;Palau Associate Fish;8552;salmon;91199;Account Ball;49248;China;76619;Analyst;Automotive;56221;Loan Berkshire;4432;Books content;35438;impactful;38862;partnerships Intelligent;73899;false
